Status,ACTION,,,,,,,,,,,,,GOTO,,,,,,
,$,(,),*,+,-,IntConst,int,/,Semicolon,id,=,return,P,A,B,S,D,E,S_list
0,,,,,,,,shift 4,,,shift 5,,shift 6,,,,1,2,,3
1,,,,,,,,,,shift 7,,,,,,,,,,
2,,,,,,,,,,,shift 8,,,,,,,,,
3,accept,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,reduce D -> int,,,,,,,,,
5,,,,,,,,,,,,shift 9,,,,,,,,
6,,shift 13,,,,,shift 14,,,,shift 15,,,,10,11,,,12,
7,reduce S_list -> S Semicolon,,,,,,,shift 4,,,shift 5,,shift 6,,,,1,2,,16
8,,,,,,,,,,reduce S -> D id,,,,,,,,,,
9,,shift 13,,,,,shift 14,,,,shift 15,,,,10,11,,,17,
10,reduce E -> A,,reduce E -> A,shift 18,reduce E -> A,reduce E -> A,,,shift 19,reduce E -> A,,,,,,,,,,
11,reduce A -> B,,reduce A -> B,reduce A -> B,reduce A -> B,reduce A -> B,,,reduce A -> B,reduce A -> B,,,,,,,,,,
12,,,,,shift 20,shift 21,,,,reduce S -> return E,,,,,,,,,,
13,,shift 13,,,,,shift 14,,,,shift 15,,,,10,11,,,22,
14,reduce B -> IntConst,,reduce B -> IntConst,reduce B -> IntConst,reduce B -> IntConst,reduce B -> IntConst,,,reduce B -> IntConst,reduce B -> IntConst,,,,,,,,,,
15,reduce B -> id,,reduce B -> id,reduce B -> id,reduce B -> id,reduce B -> id,,,reduce B -> id,reduce B -> id,,,,,,,,,,
16,reduce S_list -> S Semicolon S_list,,,,,,,,,,,,,,,,,,,
17,,,,,shift 20,shift 21,,,,reduce S -> id = E,,,,,,,,,,
18,,shift 13,,,,,shift 14,,,,shift 15,,,,,23,,,,
19,,shift 13,,,,,shift 14,,,,shift 15,,,,,24,,,,
20,,shift 13,,,,,shift 14,,,,shift 15,,,,25,11,,,,
21,,shift 13,,,,,shift 14,,,,shift 15,,,,26,11,,,,
22,,,shift 27,,shift 20,shift 21,,,,,,,,,,,,,,
23,reduce A -> A * B,,reduce A -> A * B,reduce A -> A * B,reduce A -> A * B,reduce A -> A * B,,,reduce A -> A * B,reduce A -> A * B,,,,,,,,,,
24,reduce A -> A / B,,reduce A -> A / B,reduce A -> A / B,reduce A -> A / B,reduce A -> A / B,,,reduce A -> A / B,reduce A -> A / B,,,,,,,,,,
25,reduce E -> E + A,,reduce E -> E + A,shift 18,reduce E -> E + A,reduce E -> E + A,,,shift 19,reduce E -> E + A,,,,,,,,,,
26,reduce E -> E - A,,reduce E -> E - A,shift 18,reduce E -> E - A,reduce E -> E - A,,,shift 19,reduce E -> E - A,,,,,,,,,,
27,reduce B -> ( E ),,reduce B -> ( E ),reduce B -> ( E ),reduce B -> ( E ),reduce B -> ( E ),,,reduce B -> ( E ),reduce B -> ( E ),,,,,,,,,,
